Survived,Pclass,Gender,Age,Embarked
0,3,male,33,Southampton
0,3,male,37,Southampton
0,3,male,28,Southampton
1,3,female,21,Southampton
1,3,male,,Southampton
0,3,male,38,Southampton
1,3,female,,Queenstown
0,1,male,47,Southampton
0,3,female,14.5,Cherbourg
0,3,male,22,Southampton
0,3,female,20,Southampton
0,3,female,17,Cherbourg
0,3,male,21,Southampton
0,3,male,70.5,Queenstown
0,2,male,29,Southampton
0,1,male,24,Cherbourg
0,3,female,2,Southampton
0,2,male,21,Southampton
0,3,male,,Southampton
0,2,male,32.5,Cherbourg
1,2,female,32.5,Southampton
0,1,male,54,Southampton
1,3,male,12,Cherbourg
0,3,male,,Queenstown
1,3,male,24,Southampton
1,3,female,,Cherbourg
0,3,male,45,Southampton
0,3,male,33,Cherbourg
0,3,male,20,Southampton
0,3,female,47,Southampton
1,2,female,29,Southampton
0,2,male,25,Southampton
0,2,male,23,Cherbourg
1,1,female,19,Southampton
0,1,male,37,Southampton
0,3,male,16,Southampton
0,1,male,24,Cherbourg
0,3,female,,Cherbourg
1,3,female,22,Southampton
1,3,female,24,Southampton
0,3,male,19,Queenstown
0,2,male,18,Southampton
0,2,male,19,Southampton
1,3,male,27,Southampton
0,3,female,9,Southampton
0,2,male,36.5,Southampton
0,2,male,42,Southampton
0,2,male,51,Southampton
1,1,female,22,Southampton
0,3,male,55.5,Southampton
0,3,male,40.5,Southampton
0,3,male,,Southampton
0,1,male,51,Cherbourg
1,3,female,16,Queenstown
0,3,male,30,Southampton
0,3,male,,Southampton
0,3,male,,Southampton
0,3,male,44,Southampton
1,2,female,40,Southampton
0,3,male,26,Southampton
0,3,male,17,Southampton
0,3,male,1,Southampton
1,3,male,9,Southampton
1,1,female,,Southampton
0,3,female,45,Southampton
0,1,male,,Southampton
0,3,male,28,Southampton
0,1,male,61,Southampton
0,3,male,4,Queenstown
1,3,female,1,Southampton
0,3,male,21,Southampton
0,1,male,56,Cherbourg
0,3,male,18,Southampton
0,3,male,,Southampton
0,1,female,50,Cherbourg
0,2,male,30,Southampton
0,3,male,36,Southampton
0,3,female,,Southampton
0,2,male,,Cherbourg
0,3,male,9,Southampton
1,2,male,1,Southampton
1,3,female,4,Southampton
0,1,male,,Southampton
1,3,female,,Queenstown
1,1,male,45,Southampton
0,3,male,40,Queenstown
0,3,male,36,Southampton
1,2,female,32,Southampton
0,2,male,19,Southampton
1,3,female,19,Southampton
1,2,male,3,Southampton
1,1,female,44,Cherbourg
1,1,female,58,Cherbourg
0,3,male,,Queenstown
0,3,male,42,Southampton
1,3,female,,Queenstown
0,2,female,24,Southampton
0,3,male,28,Southampton
0,3,male,,Southampton
0,3,male,34,Southampton
0,3,male,45.5,Cherbourg
1,3,male,18,Southampton
0,3,female,2,Southampton
0,3,male,32,Southampton
1,3,male,26,Cherbourg
1,3,female,16,Queenstown
1,1,male,40,Cherbourg
0,3,male,24,Southampton
1,2,female,35,Southampton
0,3,male,22,Southampton
0,2,male,30,Southampton
0,3,male,,Queenstown
1,1,female,31,Cherbourg
1,3,female,27,Southampton
0,2,male,42,Southampton
1,1,female,32,Cherbourg
0,2,male,30,Southampton
1,3,male,16,Southampton
0,2,male,27,Southampton
0,3,male,51,Southampton
0,3,male,,Southampton
1,1,male,38,Southampton
0,3,male,22,Southampton
1,2,male,19,Southampton
0,3,male,20.5,Southampton
0,2,male,18,Southampton
0,3,female,,Southampton
1,1,female,35,Southampton
0,3,male,29,Southampton
0,2,male,59,Southampton
1,3,female,5,Southampton
0,2,male,24,Southampton
0,3,female,,Southampton
0,2,male,44,Southampton
1,2,female,8,Southampton
0,2,male,19,Southampton
0,2,male,33,Southampton
0,3,female,,Cherbourg
1,3,female,,Queenstown
0,2,male,29,Southampton
0,3,male,22,Southampton
0,3,male,30,Cherbourg
0,1,male,44,Queenstown
0,3,female,25,Southampton
1,2,female,24,Southampton
1,1,male,37,Southampton
0,2,male,54,Southampton
0,3,male,,Southampton
0,3,female,29,Southampton
0,1,male,62,Southampton
0,3,male,30,Southampton
0,3,female,41,Southampton
1,3,female,29,Cherbourg
1,1,female,,Cherbourg
1,1,female,30,Southampton
1,1,female,35,Cherbourg
1,2,female,50,Southampton
0,3,male,,Queenstown
1,3,male,3,Southampton
0,1,male,52,Southampton
0,1,male,40,Southampton
0,3,female,,Queenstown
0,2,male,36,Southampton
0,3,male,16,Southampton
1,3,male,25,Southampton
1,1,female,58,Southampton
1,1,female,35,Southampton
0,1,male,,Southampton
1,3,male,25,Southampton
1,2,female,41,Southampton
0,1,male,37,Cherbourg
1,3,female,,Queenstown
1,1,female,63,Southampton
0,3,female,45,Southampton
0,2,male,,Southampton
0,3,male,7,Queenstown
1,3,female,35,Southampton
0,3,male,65,Queenstown
0,3,male,28,Southampton
0,3,male,16,Southampton
1,3,male,19,Southampton
0,1,male,,Southampton
0,3,male,33,Cherbourg
1,3,male,30,Southampton
0,3,male,22,Southampton
1,2,male,42,Southampton
1,3,female,22,Queenstown
1,1,female,26,Southampton
1,1,female,19,Cherbourg
0,2,male,36,Cherbourg
0,3,female,24,Southampton
0,3,male,24,Southampton
0,1,male,,Cherbourg
0,3,male,23.5,Cherbourg
0,1,female,2,Southampton
1,1,male,,Southampton
1,1,female,50,Cherbourg
1,3,female,,Queenstown
1,3,male,,Queenstown
0,3,male,19,Southampton
1,2,female,,Queenstown
0,3,male,,Southampton
1,1,male,0.92,Southampton
1,1,female,,Cherbourg
1,1,female,17,Cherbourg
0,2,male,30,Cherbourg
1,1,female,30,Cherbourg
1,1,female,24,Cherbourg
1,1,female,18,Cherbourg
0,2,female,26,Southampton
0,3,male,28,Southampton
0,2,male,43,Southampton
1,3,female,26,Southampton
1,2,female,24,Southampton
0,2,male,54,Southampton
1,1,female,31,Southampton
1,1,female,40,Cherbourg
0,3,male,22,Southampton
0,3,male,27,Southampton
1,2,female,30,Queenstown
1,2,female,22,Southampton
0,3,male,,Southampton
1,1,female,36,Cherbourg
0,3,male,61,Southampton
1,2,female,36,Southampton
1,3,female,31,Southampton
1,1,female,16,Cherbourg
1,3,female,,Queenstown
0,1,male,45.5,Southampton
0,1,male,38,Southampton
0,3,male,16,Southampton
1,1,female,,Southampton
0,3,male,,Southampton
0,1,male,29,Southampton
1,1,female,41,Cherbourg
1,3,male,45,Southampton
0,1,male,45,Southampton
1,2,male,2,Southampton
1,1,female,24,Southampton
0,2,male,28,Southampton
0,2,male,25,Southampton
0,2,male,36,Southampton
1,2,female,24,Southampton
1,2,female,40,Southampton
1,3,female,,Southampton
1,3,male,3,Southampton
0,3,male,42,Southampton
0,3,male,23,Southampton
0,1,male,,Southampton
0,3,male,15,Cherbourg
0,3,male,25,Southampton
0,3,male,,Cherbourg
0,3,male,28,Southampton
1,1,female,22,Southampton
0,2,female,38,Southampton
1,3,female,,Queenstown
1,3,female,,Queenstown
0,3,male,40,Southampton
0,2,male,29,Cherbourg
0,3,female,45,Cherbourg
0,3,male,35,Southampton
0,3,male,,Queenstown
0,3,male,30,Southampton
1,1,female,60,Cherbourg
1,3,female,,Cherbourg
1,3,female,,Queenstown
1,1,female,24,Cherbourg
1,1,male,25,Cherbourg
0,3,male,18,Southampton
0,3,male,19,Southampton
0,1,male,22,Cherbourg
0,3,female,3,Southampton
1,1,female,,Cherbourg
1,3,female,22,Southampton
0,1,male,27,Cherbourg
0,3,male,20,Cherbourg
0,3,male,19,Southampton
1,1,female,42,Cherbourg
1,3,female,1,Cherbourg
0,3,male,32,Southampton
1,1,female,35,Southampton
0,3,male,,Southampton
0,2,male,18,Southampton
0,3,male,1,Southampton
1,2,female,36,Southampton
0,3,male,,Queenstown
1,2,female,17,Cherbourg
1,1,male,36,Southampton
1,3,male,21,Southampton
0,3,male,28,Southampton
1,1,female,23,Cherbourg
1,3,female,24,Southampton
0,3,male,22,Southampton
0,3,female,31,Southampton
0,2,male,46,Southampton
0,2,male,23,Southampton
1,2,female,28,Southampton
1,3,male,39,Southampton
0,3,male,26,Southampton
0,3,female,21,Southampton
0,3,male,28,Southampton
0,3,female,20,Southampton
0,2,male,34,Southampton
0,3,male,51,Southampton
1,2,male,3,Southampton
0,3,male,21,Southampton
0,3,female,,Southampton
0,3,male,,Southampton
0,3,male,,Queenstown
1,1,female,33,Queenstown
0,2,male,,Southampton
1,3,male,44,Southampton
0,3,female,,Southampton
1,2,female,34,Southampton
1,2,female,18,Southampton
0,2,male,30,Southampton
0,3,female,10,Southampton
0,3,male,,Cherbourg
0,3,male,21,Queenstown
0,3,male,29,Southampton
0,3,female,28,Southampton
0,3,male,18,Southampton
0,3,male,,Southampton
1,2,female,28,Southampton
1,2,female,19,Southampton
0,3,male,,Queenstown
1,3,male,32,Southampton
1,1,male,28,Southampton
1,3,female,,Southampton
1,2,female,42,Southampton
0,3,male,17,Southampton
0,1,male,50,Southampton
1,1,female,14,Southampton
0,3,female,21,Southampton
1,2,female,24,Southampton
0,1,male,64,Southampton
0,2,male,31,Southampton
1,2,female,45,Southampton
0,3,male,20,Southampton
0,3,male,25,Southampton
1,2,female,28,Southampton
1,3,male,,Southampton
1,1,male,4,Southampton
1,2,female,13,Southampton
1,1,male,34,Southampton
1,3,female,5,Cherbourg
1,1,male,52,Southampton
0,2,male,36,Southampton
0,3,male,,Southampton
0,1,male,30,Cherbourg
1,1,male,49,Cherbourg
0,3,male,,Southampton
1,3,male,29,Cherbourg
0,1,male,65,Southampton
1,1,female,,Southampton
1,2,female,50,Southampton
0,3,male,,Queenstown
1,1,male,48,Southampton
0,3,male,34,Southampton
0,1,male,47,Southampton
0,2,male,48,Southampton
0,3,male,,Southampton
0,3,male,38,Southampton
0,2,male,,Southampton
0,1,male,56,Southampton
0,3,male,,Queenstown
1,3,female,0.75,Cherbourg
0,3,male,,Southampton
0,3,male,38,Southampton
1,2,female,33,Southampton
1,2,female,23,Cherbourg
0,3,female,22,Southampton
0,1,male,,Southampton
0,2,male,34,Southampton
0,3,male,29,Southampton
0,3,male,22,Southampton
1,3,female,2,Southampton
0,3,male,9,Southampton
0,2,male,,Southampton
0,3,male,50,Southampton
1,3,female,63,Southampton
1,1,male,25,Cherbourg
0,3,female,,Southampton
1,1,female,35,Southampton
0,1,male,58,Cherbourg
0,3,male,30,Southampton
1,3,male,9,Southampton
0,3,male,,Southampton
0,3,male,21,Southampton
0,1,male,55,Southampton
0,1,male,71,Cherbourg
0,3,male,21,Southampton
0,3,male,,Cherbourg
1,1,female,54,Cherbourg
0,3,male,,Southampton
0,1,female,25,Southampton
0,3,male,24,Southampton
0,3,male,17,Southampton
0,3,female,21,Queenstown
0,3,female,,Queenstown
0,3,female,37,Southampton
1,1,female,16,Southampton
0,1,male,18,Cherbourg
1,2,female,33,Southampton
1,1,male,,Southampton
0,3,male,28,Southampton
1,3,male,26,Southampton
1,3,male,29,Queenstown
0,3,male,,Southampton
1,1,male,36,Southampton
1,1,female,54,Cherbourg
0,3,male,24,Southampton
0,1,male,47,Southampton
1,2,female,34,Southampton
0,3,male,,Queenstown
1,2,female,36,Southampton
0,3,male,32,Southampton
1,1,female,30,Southampton
0,3,male,22,Southampton
0,3,male,,Cherbourg
1,1,female,44,Cherbourg
0,3,male,,Cherbourg
0,3,male,40.5,Queenstown
1,2,female,50,Southampton
0,1,male,,Southampton
0,3,male,39,Southampton
0,2,male,23,Southampton
1,2,female,2,Southampton
0,3,male,,Cherbourg
0,3,male,17,Cherbourg
1,3,female,,Cherbourg
0,3,female,30,Southampton
1,2,female,7,Southampton
0,1,male,45,Southampton
1,1,female,30,Cherbourg
0,3,male,,Southampton
1,1,female,22,Cherbourg
1,1,female,36,Southampton
0,3,female,9,Southampton
0,3,female,11,Southampton
1,2,male,32,Southampton
0,1,male,50,Cherbourg
0,1,male,64,Southampton
1,2,female,19,Southampton
1,2,male,,Cherbourg
0,3,male,33,Southampton
1,2,male,8,Southampton
1,1,male,17,Cherbourg
0,2,male,27,Southampton
0,3,male,,Queenstown
1,3,male,22,Cherbourg
1,3,female,22,Southampton
0,1,male,62,Southampton
1,1,female,48,Cherbourg
0,1,male,,Cherbourg
1,1,female,39,Southampton
1,3,female,36,Southampton
0,3,male,,Queenstown
0,3,male,40,Southampton
0,2,male,28,Southampton
0,3,male,,Southampton
0,3,female,,Southampton
0,3,male,24,Southampton
0,3,male,19,Southampton
0,3,female,29,Southampton
0,3,male,,Cherbourg
1,3,male,32,Southampton
1,2,male,62,Southampton
1,1,female,53,Southampton
1,1,male,36,Southampton
1,3,female,,Queenstown
0,3,male,16,Southampton
0,3,male,19,Southampton
1,2,female,34,Southampton
1,1,female,39,Southampton
0,3,female,,Cherbourg
1,3,male,32,Southampton
1,2,female,25,Southampton
1,1,female,39,Cherbourg
0,2,male,54,Southampton
0,1,male,36,Cherbourg
0,3,male,,Cherbourg
1,1,female,18,Southampton
0,2,male,47,Southampton
1,1,male,60,Cherbourg
0,3,male,22,Southampton
0,3,male,,Southampton
0,3,male,35,Southampton
1,1,female,52,Cherbourg
0,3,male,47,Southampton
0,3,female,,Queenstown
0,2,male,37,Southampton
0,3,male,36,Southampton
1,2,female,,Southampton
0,3,male,49,Southampton
0,3,male,,Cherbourg
1,1,male,49,Cherbourg
1,2,female,24,Southampton
0,3,male,,Southampton
0,1,male,,Southampton
0,3,male,44,Southampton
1,1,male,35,Cherbourg
0,3,male,36,Southampton
0,3,male,30,Southampton
1,1,male,27,Southampton
1,2,female,22,Cherbourg
1,1,female,40,Southampton
0,3,female,39,Southampton
0,3,male,,Southampton
1,3,female,,Queenstown
0,3,male,,Queenstown
0,3,male,35,Southampton
1,2,female,24,Southampton
0,3,male,34,Southampton
0,3,female,26,Southampton
1,2,female,4,Southampton
0,2,male,26,Southampton
0,3,male,27,Cherbourg
1,1,male,42,Southampton
1,3,male,20,Cherbourg
0,3,male,21,Southampton
0,3,male,21,Southampton
0,1,male,61,Southampton
0,2,male,57,Queenstown
1,1,female,21,Southampton
0,3,male,26,Southampton
0,3,male,,Queenstown
1,1,male,80,Southampton
0,3,male,51,Southampton
1,1,male,32,Cherbourg
0,1,male,,Southampton
0,3,female,9,Southampton
1,2,female,28,Southampton
0,3,male,32,Southampton
0,2,male,31,Southampton
0,3,female,41,Southampton
0,3,male,,Southampton
0,3,male,20,Southampton
1,1,female,24,Cherbourg
0,3,female,2,Southampton
1,3,male,,Southampton
1,3,female,0.75,Cherbourg
1,1,male,48,Cherbourg
0,3,male,19,Southampton
1,1,male,56,Cherbourg
0,3,male,,Southampton
1,3,female,23,Southampton
0,3,male,,Southampton
1,2,female,18,Southampton
0,3,male,21,Southampton
1,3,female,,Queenstown
0,3,female,18,Queenstown
0,2,male,24,Southampton
0,3,male,,Southampton
0,3,female,32,Queenstown
0,2,male,23,Southampton
0,1,male,58,Cherbourg
1,1,male,50,Southampton
0,3,male,40,Cherbourg
0,1,male,47,Southampton
0,3,male,36,Southampton
1,3,male,20,Southampton
0,2,male,32,Southampton
0,2,male,25,Southampton
0,3,male,,Southampton
0,3,male,43,Southampton
1,1,female,,Southampton
1,2,female,40,Southampton
0,1,male,31,Southampton
0,2,male,70,Southampton
1,2,male,31,Southampton
0,2,male,,Southampton
0,3,male,18,Southampton
0,3,male,24.5,Southampton
1,3,female,18,Southampton
0,3,female,43,Southampton
1,1,male,36,Cherbourg
0,3,female,,Queenstown
1,1,male,27,Cherbourg
0,3,male,20,Southampton
0,3,male,14,Southampton
0,2,male,60,Southampton
0,2,male,25,Cherbourg
0,3,male,14,Southampton
0,3,male,19,Southampton
0,3,male,18,Southampton
1,1,female,15,Southampton
1,1,male,31,Southampton
1,3,female,4,Cherbourg
1,3,male,,Southampton
0,3,male,25,Cherbourg
0,1,male,60,Southampton
0,2,male,52,Southampton
0,3,male,44,Southampton
1,3,female,,Queenstown
0,1,male,49,Cherbourg
0,3,male,42,Southampton
1,1,female,18,Cherbourg
1,1,male,35,Southampton
0,3,female,18,Cherbourg
0,3,male,25,Queenstown
0,3,male,26,Southampton
0,2,male,39,Southampton
1,2,female,45,Southampton
1,1,male,42,Southampton
1,1,female,22,Southampton
1,3,male,,Cherbourg
1,1,female,24,Cherbourg
0,1,male,,Southampton
1,1,male,48,Southampton
0,3,male,29,Southampton
0,2,male,52,Southampton
0,3,male,19,Southampton
1,1,female,38,Cherbourg
1,2,female,27,Southampton
0,3,male,,Queenstown
0,3,male,33,Southampton
1,2,female,6,Southampton
0,3,male,17,Southampton
0,2,male,34,Southampton
0,2,male,50,Southampton
1,1,male,27,Southampton
0,3,male,20,Southampton
1,2,female,30,Southampton
1,3,female,,Queenstown
0,2,male,25,Southampton
0,3,female,25,Southampton
1,1,female,29,Southampton
0,3,male,11,Cherbourg
0,2,male,,Southampton
0,2,male,23,Southampton
0,2,male,23,Southampton
0,3,male,28.5,Southampton
0,3,female,48,Southampton
1,1,male,35,Cherbourg
0,3,male,,Southampton
0,3,male,,Southampton
1,1,male,,Southampton
0,1,male,36,Southampton
1,1,female,21,Cherbourg
0,3,male,24,Southampton
1,3,male,31,Southampton
0,1,male,70,Southampton
0,3,male,16,Southampton
1,2,female,30,Southampton
0,1,male,19,Southampton
0,3,male,31,Queenstown
1,2,female,4,Southampton
1,3,male,6,Southampton
0,3,male,33,Southampton
0,3,male,23,Southampton
1,2,female,48,Southampton
1,2,male,0.67,Southampton
0,3,male,28,Southampton
0,2,male,18,Southampton
0,3,male,34,Southampton
1,1,female,33,Southampton
0,3,male,,Southampton
0,3,male,41,Southampton
1,3,male,20,Cherbourg
1,1,female,36,Southampton
0,3,male,16,Southampton
1,1,female,51,Southampton
0,1,male,,Cherbourg
0,3,female,30.5,Queenstown
0,3,male,,Queenstown
0,3,male,32,Southampton
0,3,male,24,Southampton
0,3,male,48,Southampton
0,2,female,57,Southampton
0,3,male,,Cherbourg
1,2,female,54,Southampton
0,3,male,18,Southampton
0,3,male,,Queenstown
1,3,female,5,Southampton
0,3,male,,Queenstown
1,1,female,43,Southampton
1,3,female,13,Cherbourg
1,1,female,17,Southampton
0,1,male,29,Southampton
0,3,male,,Southampton
0,3,male,25,Southampton
0,3,male,25,Southampton
1,3,female,18,Southampton
0,3,male,8,Queenstown
1,3,male,1,Southampton
0,1,male,46,Cherbourg
0,3,male,,Queenstown
0,2,male,16,Southampton
0,3,female,,Southampton
0,1,male,,Cherbourg
0,3,male,25,Southampton
0,2,male,39,Southampton
1,1,female,49,Southampton
1,3,female,31,Southampton
0,3,male,30,Cherbourg
0,3,female,30,Southampton
0,2,male,34,Southampton
1,2,female,31,Southampton
1,1,male,11,Southampton
1,3,male,0.42,Cherbourg
1,3,male,27,Southampton
0,3,male,31,Southampton
0,1,male,39,Southampton
0,3,female,18,Southampton
0,2,male,39,Southampton
1,1,female,33,Southampton
0,3,male,26,Southampton
0,3,male,39,Southampton
0,2,male,35,Southampton
0,3,female,6,Southampton
0,3,male,30.5,Southampton
0,1,male,,Southampton
0,3,female,23,Southampton
0,2,male,31,Cherbourg
0,3,male,43,Southampton
0,3,male,10,Southampton
1,1,female,52,Southampton
1,3,male,27,Southampton
0,1,male,38,Southampton
1,3,female,27,Southampton
0,3,male,2,Southampton
0,3,male,,Queenstown
0,3,male,,Southampton
1,2,male,1,Cherbourg
1,3,male,,Queenstown
1,1,female,62,
1,3,female,15,Cherbourg
1,2,male,0.83,Southampton
0,3,male,,Cherbourg
0,3,male,23,Southampton
0,3,male,18,Southampton
1,1,female,39,Cherbourg
0,3,male,21,Southampton
0,3,male,,Southampton
1,3,male,32,Southampton
1,1,male,,Cherbourg
0,3,male,20,Southampton
0,2,male,16,Southampton
1,1,female,30,Cherbourg
0,3,male,34.5,Cherbourg
0,3,male,17,Southampton
0,3,male,42,Southampton
0,3,male,,Southampton
0,3,male,35,Cherbourg
0,2,male,28,Southampton
1,1,female,,Cherbourg
0,3,male,4,Southampton
0,3,male,74,Southampton
0,3,female,9,Cherbourg
1,1,female,16,Southampton
0,2,female,44,Southampton
1,3,female,18,Southampton
1,1,female,45,Southampton
1,1,male,51,Southampton
1,3,female,24,Cherbourg
0,3,male,,Cherbourg
0,3,male,41,Southampton
0,2,male,21,Southampton
1,1,female,48,Southampton
0,3,female,,Southampton
0,2,male,24,Southampton
1,2,female,42,Southampton
1,2,female,27,Cherbourg
0,1,male,31,Southampton
0,3,male,,Southampton
1,3,male,4,Southampton
0,3,male,26,Southampton
1,1,female,47,Southampton
0,1,male,33,Southampton
0,3,male,47,Southampton
1,2,female,28,Cherbourg
1,3,female,15,Cherbourg
0,3,male,20,Southampton
0,3,male,19,Southampton
0,3,male,,Southampton
1,1,female,56,Cherbourg
1,2,female,25,Southampton
0,3,male,33,Southampton
0,3,female,22,Southampton
0,2,male,28,Southampton
0,3,male,25,Southampton
0,3,female,39,Queenstown
0,2,male,27,Southampton
1,1,female,19,Southampton
0,3,female,,Southampton
1,1,male,26,Cherbourg
0,3,male,32,Queenstown
